salario_hora,no_ambos_padres_bio,educacion,edad,afqt_score,mujer,hispano,negro
10.19,1,12,49,25,1,0,0
10.5,0,12,52,28,1,0,0
,0,7,53,4,0,0,0
15,0,13,50,24,1,0,0
10.5,1,14,46,34,0,0,0
34.18,0,18,46,49,1,0,0
36.25,0,12,48,89,0,0,0
67.829999999999998,0,16,52,82,0,0,0
13.75,1,12,49,68,0,0,0
,0,12,47,12,0,0,0
21.629999999999999,0,14,45,59,0,0,0
11,1,14,45,65,1,0,0
30,0,10,47,14,0,0,0
,0,19,52,73,1,0,0
24.030000000000001,0,12,49,49,0,0,0
12.25,0,13,45,59,1,0,0
16.5,1,12,46,63,0,0,0
12.09,1,16,45,49,0,0,0
49.450000000000003,0,20,53,99,0,0,0
24.030000000000001,0,19,51,99,0,0,0
115.38,0,20,49,,1,0,0
15.23,0,12,52,52,1,0,0
33.649999999999999,0,12,52,44,0,1,0
12.210000000000001,0,12,53,,1,0,0
,0,12,48,,0,0,0
14.470000000000001,0,14,49,75,1,0,0
12.35,0,12,49,3,0,0,0
19,0,12,46,50,0,0,0
8.3699999999999992,0,12,46,65,1,0,0
12.56,1,12,52,63,1,0,0
13.65,1,13,47,69,1,0,0
37.5,0,16,48,81,1,0,0
9.1300000000000008,0,13,52,43,1,0,0
22.43,0,14,48,89,0,0,0
17.18,0,16,48,62,1,0,0
16.48,0,16,45,69,0,0,0
16,0,12,49,68,1,0,0
18.170000000000002,1,18,45,37,1,0,0
40.060000000000002,1,20,50,87,1,0,0
25.640000000000001,0,20,51,52,0,0,0
23.84,0,16,49,64,0,0,0
33.920000000000002,0,18,48,93,1,0,0
19.949999999999999,0,20,46,78,1,0,0
14.08,0,13,48,38,1,0,0
37.780000000000001,0,16,48,90,0,0,0
24.27,0,18,49,93,1,0,0
25,0,14,50,85,0,0,0
11.93,0,12,46,77,1,0,0
13.49,0,16,52,,0,0,0
16,0,16,49,96,1,0,0
65.469999999999999,0,16,51,98,0,0,0
8.4000000000000004,0,12,45,22,0,1,0
10.85,1,12,47,9,0,0,0
,0,12,50,38,1,0,0
11.75,1,11,47,28,1,0,0
12.25,1,12,50,,0,0,0
16.149999999999999,1,12,49,26,1,0,0
11.25,1,12,45,18,1,0,0
9.1500000000000004,0,12,45,,1,0,0
0.64000000000000001,0,12,46,15,0,0,0
,0,12,50,54,1,0,0
33.119999999999997,0,16,46,59,0,0,0
25.960000000000001,0,18,52,56,0,0,0
58.630000000000003,0,19,52,98,0,0,0
52.299999999999997,0,19,50,83,0,0,0
38.07,0,12,53,74,0,0,0
9.6099999999999994,0,12,48,17,0,0,0
12.710000000000001,0,12,47,19,1,0,0
48.07,0,12,46,30,0,0,0
23.07,0,14,49,53,1,0,0
30,0,12,46,35,0,0,0
32.049999999999997,0,14,49,72,0,0,0
20.870000000000001,0,12,50,16,1,0,0
12,0,12,48,52,1,0,0
11.529999999999999,0,13,45,49,0,0,0
31.66,0,16,49,74,1,0,0
24.079999999999998,0,17,47,94,1,0,0
34.880000000000003,0,12,52,,0,0,0
20.530000000000001,0,14,48,38,1,0,0
29.800000000000001,0,15,46,63,1,0,0
25.18,0,19,46,69,1,0,0
41.530000000000001,0,12,49,78,0,0,0
5.7599999999999998,0,12,48,40,1,0,0
,0,9,46,11,1,0,0
,0,12,50,38,0,0,0
18.75,0,16,49,43,1,0,0
,1,14,48,60,1,0,0
26.300000000000001,1,14,48,43,0,0,1
,1,12,46,9,1,0,1
8,1,12,48,4,0,0,1
7.5,1,12,47,8,0,0,1
,1,12,46,5,0,0,1
7.5999999999999996,1,11,46,2,1,0,1
24.390000000000001,0,16,51,22,0,0,1
25.210000000000001,0,17,50,28,0,0,1
15,0,13,48,7,1,0,1
30,0,15,47,15,0,0,1
31.620000000000001,0,13,52,82,1,0,0
29.600000000000001,1,12,46,27,1,0,0
,1,9,52,12,1,0,0
,0,9,53,10,0,0,0
5.2000000000000002,0,15,50,55,1,0,0
25.699999999999999,0,12,46,4,0,0,0
10.69,0,12,46,27,0,0,0
,0,10,49,2,1,0,0
,0,12,47,2,0,0,0
,0,12,51,24,0,0,0
28.550000000000001,1,12,47,25,0,0,0
